Name                                                               Type                   Forward_MACs     FPercent    Memory          MPercent    Params       PPercent    InShape          OutShape
/backbone/backbone.0/layers.3/Mul_15                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_16                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_17                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_18                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_19                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_20                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_21                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_22                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_23                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_24                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_25                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_26                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_27                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_28                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_29                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_30                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_31                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_32                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_33                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_34                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_35                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/transformer/encoder/Split                                         Split                  0                0.00%       1,560           0.00%       0            0.00%       1x195x1          1x195x1
/transformer/encoder/text_layers.0/Expand                          Expand                 0                0.00%       38,025          0.00%       0            0.00%       1x195x195        1x195x195
/transformer/enc_out_class_embed/Not                               Not                    195              0.00%       195             0.00%       0            0.00%       1x1x195          1x1x195
/transformer/decoder/layers.0/ca_text/Mul_1                        Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/transformer/decoder/layers.1/ca_text/Mul_1                        Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/transformer/decoder/layers.2/ca_text/Mul_1                        Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/transformer/decoder/layers.3/ca_text/Mul_1                        Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/transformer/decoder/layers.4/ca_text/Mul_1                        Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/transformer/decoder/layers.5/ca_text/Mul_1                        Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/bert/Sub                                                          Sub                    38,025           0.00%       152,100         0.00%       0            0.00%       0                1x1x195x195
/bert/embeddings/LayerNorm/ReduceMean                              ReduceMean             149,760          0.00%       780             0.00%       0            0.00%       1x195x768        1x195x1
/Sub                                                               Sub                    0                0.00%       0               0.00%       0            0.00%       0                0
/Sub_1                                                             Sub                    0                0.00%       0               0.00%       0            0.00%       0                0
/Sub_2                                                             Sub                    0                0.00%       0               0.00%       0            0.00%       0                0
/backbone/backbone.0/layers.0/Equal                                Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_1                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_2                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_3                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
